id,nl_query,category,expected_sql
1,Покажи всех сотрудников,простой,SELECT * FROM employees;
2,Выведи список всех отделов,простой,SELECT * FROM departments;
3,Показать все должности в компании,простой,SELECT * FROM positions;
4,Список всех проектов,простой,SELECT * FROM projects;
5,Какие есть вакансии,простой,SELECT * FROM job_openings;
6,Показать все отпуска,простой,SELECT * FROM vacations;
7,Список всех премий,простой,SELECT * FROM bonuses;
8,Какие тренинги проводились,простой,SELECT * FROM trainings;
9,Показать оценки сотрудников,простой,SELECT * FROM performance_reviews;
10,Кто участвует в проектах,простой,SELECT * FROM project_assignments;
11,История трудоустройства сотрудников,простой,SELECT * FROM employment_history;
12,Показать сотрудников с зарплатой больше 150000,простой,SELECT * FROM employees WHERE salary > 150000;
13,Сотрудники с зарплатой меньше 100000,простой,SELECT * FROM employees WHERE salary < 100000;
14,Активные сотрудники,простой,SELECT * FROM employees WHERE is_active = true;
15,Уволенные сотрудники,простой,SELECT * FROM employees WHERE is_active = false;
16,Сколько всего сотрудников,простой,SELECT COUNT(*) FROM employees;
17,Сколько отделов в компании,простой,SELECT COUNT(*) FROM departments;
18,Сколько проектов в работе,простой,SELECT COUNT(*) FROM projects WHERE status = 'Active';
19,Количество открытых вакансий,простой,SELECT COUNT(*) FROM job_openings WHERE status = 'Open';
20,Сколько сотрудников-мужчин,простой,SELECT COUNT(*) FROM employees WHERE gender = 'Мужской';
21,Сколько сотрудников-женщин,простой,SELECT COUNT(*) FROM employees WHERE gender = 'Женский';
22,Сколько премий выплачено в 2024 году,простой,SELECT COUNT(*) FROM bonuses WHERE year = 2024;
23,Количество завершённых проектов,простой,SELECT COUNT(*) FROM projects WHERE status = 'Completed';
24,Сколько сотрудников прошло обучение,простой,SELECT COUNT(DISTINCT employee_id) FROM employee_trainings;
25,Сколько типов отпусков существует,простой,SELECT COUNT(DISTINCT vacation_type) FROM vacations;
26,Найти сотрудника с фамилией Волков,простой,SELECT * FROM employees WHERE last_name ILIKE '%волков%';
27,Найти сотрудника с именем Екатерина,простой,SELECT * FROM employees WHERE first_name ILIKE '%екатерина%';
28,Показать сотрудника с email a.volkov@company.ru,простой,SELECT * FROM employees WHERE email = 'a.volkov@company.ru';
29,Найти всех Смирновых,простой,SELECT * FROM employees WHERE last_name ILIKE '%смирнов%';
30,Показать сотрудника с телефоном +7(916)111-11-11,простой,SELECT * FROM employees WHERE phone = '+7(916)111-11-11';
31,Найти отдел разработки,простой,SELECT * FROM departments WHERE department_name ILIKE '%разработк%';
32,Показать IT-департамент,простой,SELECT * FROM departments WHERE department_code = 'IT';
33,Найти должность Senior разработчика,простой,SELECT * FROM positions WHERE position_name = 'Senior разработчик';
34,Показать проект Мобильное приложение,простой,SELECT * FROM projects WHERE project_name ILIKE '%мобильное%';
35,Найти тренинг по SQL,простой,SELECT * FROM trainings WHERE training_name ILIKE '%sql%';
36,Топ 5 сотрудников по зарплате,простой,"SELECT first_name, last_name, salary FROM employees ORDER BY salary DESC LIMIT 5;"
37,Самые низкооплачиваемые сотрудники,простой,"SELECT first_name, last_name, salary FROM employees ORDER BY salary ASC LIMIT 5;"
38,Последние 10 принятых сотрудников,простой,SELECT * FROM employees ORDER BY hire_date DESC LIMIT 10;
39,Самые дорогие тренинги,простой,"SELECT training_name, cost FROM trainings ORDER BY cost DESC LIMIT 5;"
40,Проекты с наибольшим бюджетом,простой,"SELECT project_name, budget FROM projects ORDER BY budget DESC LIMIT 5;"
41,Самые большие премии в 2024 году,простой,SELECT * FROM bonuses WHERE year = 2024 ORDER BY bonus_amount DESC LIMIT 5;
42,Сотрудники отсортированные по фамилии,простой,SELECT * FROM employees ORDER BY last_name;
43,Отделы по алфавиту,простой,SELECT department_name FROM departments ORDER BY department_name;
44,Сотрудники с самой высокой оценкой,простой,SELECT * FROM performance_reviews ORDER BY rating DESC LIMIT 10;
45,Недавние отпуска,простой,SELECT * FROM vacations ORDER BY start_date DESC LIMIT 10;
46,Кто был принят на работу в 2023 году,простой,SELECT * FROM employees WHERE EXTRACT(YEAR FROM hire_date) = 2023;
47,"Сотрудники, принятые в 2024 году",простой,SELECT * FROM employees WHERE EXTRACT(YEAR FROM hire_date) = 2024;
48,Кто родился в 1990 году,простой,SELECT * FROM employees WHERE EXTRACT(YEAR FROM birth_date) = 1990;
49,Премии за 1 квартал 2024 года,простой,SELECT * FROM bonuses WHERE quarter = 1 AND year = 2024;
50,Отпуска в июле 2024,простой,SELECT * FROM vacations WHERE start_date BETWEEN '2024-07-01' AND '2024-07-31';
51,Проекты начатые в 2024 году,простой,SELECT * FROM projects WHERE EXTRACT(YEAR FROM start_date) = 2024;
52,Вакансии открытые в 2024,простой,SELECT * FROM job_openings WHERE status = 'Open' AND opening_date >= '2024-01-01';
53,Сотрудники с зарплатой от 100000 до 200000,простой,SELECT * FROM employees WHERE salary BETWEEN 100000 AND 200000;
54,Проекты с бюджетом от 1 до 3 миллионов,простой,SELECT * FROM projects WHERE budget BETWEEN 1000000 AND 3000000;
55,Оценки 5 (отлично),простой,SELECT * FROM performance_reviews WHERE rating = 5;
56,Какие уникальные должности есть,простой,SELECT DISTINCT position_name FROM positions;
57,Какие типы отпусков бывают,простой,SELECT DISTINCT vacation_type FROM vacations;
58,Какие статусы проектов существуют,простой,SELECT DISTINCT status FROM projects;
59,Какие типы тренингов проводятся,простой,SELECT DISTINCT training_type FROM trainings;
60,Сотрудники и их отделы,простой,"SELECT e.first_name, e.last_name, d.department_name FROM employees e JOIN departments d ON e.department_id = d.id;"
61,Сотрудники и их должности,простой,"SELECT e.first_name, e.last_name, p.position_name FROM employees e JOIN positions p ON e.position_id = p.id;"
